,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Region,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
0,768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,England,39,5,1,3,12691.0,777,11914.0,1144.0,42,0.061
1,818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,Northern Ireland,44,6,1,2,8256.0,864,7392.0,1291.0,33,0.105
2,713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,England,36,4,1,0,3418.0,0,3418.0,1887.0,20,0.0
3,769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,Wales,34,3,4,1,3313.0,2517,796.0,1171.0,20,0.76
4,709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,England,21,5,1,0,4716.0,0,4716.0,816.0,28,0.0
5,713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,Wales,36,3,1,2,4010.0,1247,2763.0,1088.0,24,0.311
6,810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,England,46,6,1,3,23720.799999999996,2264,21964.6,1330.0,31,0.066
7,818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,Scotland,27,2,2,2,23720.799999999996,1396,21964.6,1538.0,36,0.048
8,710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,Wales,36,5,2,0,22352.0,2517,19835.0,1350.0,24,0.113
9,719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,England,36,6,3,3,11656.0,1677,9979.0,1441.0,32,0.144
10,708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,England,31,5,3,2,6748.0,1467,5281.0,1201.0,42,0.217
11,710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,England,36,6,2,3,9095.0,1587,7508.0,1314.0,26,0.174
12,710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,England,36,3,6,0,11751.0,0,11751.0,1539.0,17,0.0
13,816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,Scotland,30,5,1,3,8547.0,1666,6881.0,1311.0,33,0.195
14,712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,Wales,48,5,2,2,2436.0,680,1756.0,1570.0,29,0.279
15,714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,England,37,5,1,2,4234.0,972,3262.0,1348.0,27,0.23
16,709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,Scotland,36,6,2,3,23720.799999999996,2362,21964.6,1671.0,27,0.078
17,753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,Scotland,34,4,4,1,13535.0,1291,12244.0,1028.0,21,0.095
18,806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,England,36,2,2,3,3193.0,2517,676.0,1336.0,30,0.788
19,709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,England,37,6,1,2,14470.0,1157,13313.0,1207.0,21,0.08
20,806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,Wales,42,5,2,0,4557.0,1800,19179.0,1178.0,27,0.086
21,708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,Scotland,49,2,3,3,1438.3,0,1438.3,692.0,16,0.0
22,784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,Wales,33,4,2,1,4470.0,680,3790.0,931.0,18,0.152
23,811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,Scotland,36,3,3,2,2492.0,1560,932.0,1126.0,23,0.626
24,789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,England,42,4,2,3,12217.0,0,12217.0,1110.0,21,0.0
25,771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,Scotland,28,6,1,2,7768.0,1669,6099.0,1051.0,22,0.215
26,720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,Northern Ireland,46,4,1,2,14784.0,1374,13410.0,1197.0,23,0.093
27,804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,England,36,3,3,2,10215.0,1010,9205.0,1904.0,40,0.099
28,718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,Scotland,34,5,2,2,10100.0,0,10100.0,1052.0,18,0.0
29,806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,England,42,6,0,0,4785.0,1362,3423.0,1045.0,38,0.285
30,778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,England,33,3,2,3,2753.0,1811,942.0,1038.0,25,0.658
31,712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,Wales,48,2,5,1,2451.0,1690,761.0,1596.0,26,0.69
32,709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,Scotland,36,4,1,2,8923.0,2517,6406.0,1589.0,24,0.282
33,788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,England,38,5,2,3,2650.0,1490,1160.0,1411.0,28,0.562
34,787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,England,49,6,2,2,12555.0,1696,10859.0,1291.0,24,0.135
35,715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,England,36,4,2,1,3520.0,1914,1606.0,1407.0,43,0.544
36,713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,England,36,6,2,3,3035.0,2298,737.0,1877.0,37,0.757
37,785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,England,36,2,3,3,15433.0,0,15433.0,966.0,22,0.0
38,715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,Scotland,49,3,3,2,3672.0,886,2786.0,1464.0,28,0.241
39,708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,Scotland,36,5,4,3,7882.0,605,7277.0,704.0,16,0.077
40,827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,England,41,2,2,2,23720.799999999996,578,21964.6,1109.0,28,0.018
41,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,England,44,4,1,0,6205.0,2204,4001.0,1347.0,28,0.355
42,773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,Scotland,43,3,2,3,17304.0,2517,14787.0,1756.0,33,0.145
43,778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,Northern Ireland,37,5,2,1,3906.0,0,3906.0,1756.0,32,0.0
44,720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,England,28,2,3,3,4557.0,2055,7775.0,1042.0,23,0.209
45,712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,Scotland,30,3,2,3,23720.799999999996,0,21964.6,1444.0,28,0.0
46,789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,Scotland,45,6,2,0,2283.0,1430,853.0,1741.0,27,0.626
47,738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,Northern Ireland,52,3,2,2,2548.0,2020,528.0,1719.0,27,0.793
48,799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,England,40,4,3,3,19458.0,1435,18023.0,1217.0,27,0.074
49,771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,England,40,5,1,1,4745.0,1227,3518.0,1140.0,40,0.259
50,720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,England,41,6,3,2,2622.0,1549,1073.0,1878.0,30,0.591
51,779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,England,40,2,3,1,1438.3,808,630.3,705.0,19,0.562
52,711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,England,36,3,4,2,3171.0,2179,992.0,1946.0,38,0.687
53,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,England,36,4,2,0,19763.0,2517,17246.0,1414.0,35,0.127
54,714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,England,36,1,3,3,15769.0,0,15769.0,602.0,15,0.0
55,717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,England,36,6,4,2,3298.0,2200,1098.0,1052.0,32,0.667
56,716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,England,36,2,2,0,2802.0,2363,439.0,1295.0,40,0.843
57,768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,England,50,4,2,3,4458.0,1880,2578.0,1424.0,29,0.422
58,711427458,Existing Customer,44,M,5,Graduate,Married,Unknown,Blue,England,35,4,1,2,6273.0,978,5295.0,1359.0,25,0.156
59,714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,England,34,4,4,3,3336.0,1753,1583.0,1168.0,27,0.525
60,787584108,Existing Customer,77,M,3,Unknown,Married,$80K - $120K,Blue,England,47,4,2,3,3436.0,2016,1420.0,1097.0,33,0.587
61,712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,England,35,2,4,4,23720.799999999996,0,21964.6,691.0,15,0.0
62,711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,England,33,5,3,3,5926.0,1251,4675.0,1316.0,28,0.211
63,710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,England,32,2,4,2,23720.799999999996,2102,21855.0,1276.0,26,0.088
64,708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,Scotland,44,4,2,2,14734.0,1634,13100.0,1289.0,23,0.111
65,788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,Scotland,38,4,1,4,23720.799999999996,1515,21964.6,1293.0,32,0.044
66,807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,Scotland,52,5,3,3,6584.0,1817,4767.0,1353.0,35,0.276
67,788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,Scotland,20,6,3,3,2084.0,1468,616.0,1132.0,28,0.704
68,711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,Scotland,32,2,2,2,1687.0,1107,580.0,1670.0,17,0.656
69,717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,Scotland,38,6,2,2,23720.799999999996,1330,21964.6,837.0,15,0.053
70,715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,Scotland,42,3,2,3,23720.799999999996,1763,21964.6,1550.0,41,0.051
71,720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,Scotland,42,5,3,3,2216.0,1034,1182.0,1540.0,36,0.467
72,719580033,Existing Customer,87,M,1,Graduate,Unknown,$60K - $80K,Blue,Wales,43,4,2,3,2910.0,2030,880.0,1256.0,21,0.698
73,820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,Wales,37,6,2,2,22913.0,1528,21385.0,1394.0,35,0.067
74,789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,Northern Ireland,35,3,3,3,23720.799999999996,1932,21964.6,1341.0,24,0.079
75,712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,Scotland,36,5,3,2,5272.0,1515,3757.0,1289.0,33,0.287
76,804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,England,36,6,4,2,7000.0,2517,4483.0,1112.0,23,0.36
77,714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,England,29,4,4,2,7038.0,1801,5237.0,2339.0,57,0.256
78,779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,Wales,30,6,1,2,2536.0,1823,713.0,1468.0,23,0.719
79,710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,England,38,6,3,2,23720.799999999996,1899,21964.6,1334.0,35,0.066
80,715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,England,37,4,4,0,8567.0,1695,6872.0,1457.0,41,0.198
81,715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,England,36,6,2,2,23720.799999999996,1533,21964.6,1603.0,29,0.044
82,711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,England,45,2,4,3,2158.0,0,2158.0,615.0,12,0.0
83,755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,England,52,2,3,3,10133.0,1417,8716.0,1068.0,20,0.14
84,794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,England,35,5,4,2,23720.799999999996,1219,21964.6,1590.0,27,0.035
85,716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,England,47,5,3,0,3085.0,1910,1175.0,1531.0,35,0.619
86,715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,England,35,4,2,1,19040.0,2056,16984.0,1212.0,31,0.108
87,711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,England,35,5,2,3,4026.0,0,4026.0,1237.0,32,0.0
88,719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,England,31,4,3,1,12756.0,837,11919.0,1413.0,14,0.066
89,778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,England,45,5,3,3,5266.0,0,5266.0,1516.0,29,0.0
90,717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,England,36,3,2,2,9930.0,0,9930.0,1276.0,21,0.0
91,714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,England,38,4,3,0,23720.799999999996,1953,21964.6,1564.0,35,0.062
92,714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,England,36,4,4,3,6576.0,0,6576.0,1465.0,34,0.0
93,789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,England,42,5,4,1,2664.0,2037,627.0,1286.0,29,0.765
94,715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,England,28,5,1,2,2535.0,2440,95.0,1312.0,20,0.963
95,719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,England,52,6,4,3,1709.0,895,814.0,1673.0,32,0.524
96,772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,England,35,5,4,2,3454.0,1200,2254.0,1313.0,30,0.347
97,720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,England,35,5,3,2,3789.0,1706,2083.0,1609.0,42,0.45
98,802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,Scotland,50,3,2,0,9689.0,2250,7439.0,1158.0,19,0.232
99,711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,Scotland,37,2,3,3,5449.0,1628,3821.0,836.0,18,0.299
100,714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,Scotland,43,4,4,0,23032.0,1960,21072.0,1289.0,22,0.085
101,713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,Scotland,34,5,3,3,23720.799999999996,2053,21964.6,1487.0,26,0.059
102,779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,Scotland,34,6,2,2,2940.0,1264,1676.0,1259.0,33,0.43
103,721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,Scotland,32,3,3,3,3031.0,1879,1152.0,1298.0,15,0.62
104,713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,Scotland,25,3,3,0,1862.0,0,1862.0,1226.0,34,0.0
105,716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,Scotland,33,2,3,3,8358.0,926,7432.0,1566.0,37,0.111
106,779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,Scotland,36,6,1,2,23720.799999999996,931,21964.6,1022.0,21,0.027
107,717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,Scotland,36,5,2,3,14450.0,2440,12010.0,1235.0,30,0.169
108,808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,Scotland,36,6,0,0,1438.3,0,1438.3,1951.0,44,0.0
109,708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,Scotland,36,6,3,2,23720.799999999996,1960,21964.6,1047.0,31,0.058
110,710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,Wales,39,4,3,0,8466.0,1886,6580.0,1342.0,32,0.223
111,708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,Wales,36,5,3,3,15088.0,865,14223.0,1107.0,21,0.057
112,799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,Northern Ireland,36,5,1,2,3263.0,1674,1589.0,1251.0,35,0.513
113,718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,Northern Ireland,36,2,2,2,1494.0,706,788.0,1305.0,24,0.473
114,711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,Northern Ireland,35,6,1,0,13551.0,1294,12257.0,1388.0,37,0.095
115,714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,England,36,6,2,2,18886.0,895,17991.0,1235.0,18,0.047
116,826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,England,48,3,2,0,11976.0,1273,10703.0,2089.0,36,0.106
117,771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,Scotland,39,4,1,4,9964.0,1559,8405.0,1626.0,25,0.156
118,721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,England,36,4,6,3,23720.799999999996,1196,21964.6,1111.0,24,0.05
119,715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,England,44,3,2,3,5362.0,1901,3461.0,1553.0,38,0.355
120,718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,England,36,3,2,2,23720.799999999996,1023,21964.6,1064.0,13,0.03
121,719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,England,36,4,1,0,3174.0,1951,1223.0,1243.0,29,0.615
122,714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,England,47,3,2,2,12262.0,1836,10426.0,1659.0,38,0.15
123,785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,England,41,4,3,3,3788.0,1540,2248.0,1594.0,47,0.407
124,771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,England,42,2,3,2,23720.799999999996,1527,21964.6,1268.0,42,0.044
125,711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,England,36,4,2,2,2926.0,0,2926.0,1304.0,24,0.0
126,783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,England,52,6,1,0,23720.799999999996,0,21964.6,1368.0,30,0.0
127,720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,England,41,3,3,2,11669.0,2227,9442.0,720.0,23,0.191
128,718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,England,45,3,1,2,13532.0,1300,12232.0,1521.0,29,0.096
129,710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,England,36,4,2,2,11888.0,2090,9798.0,1137.0,30,0.176
130,714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,England,36,5,1,2,2393.0,1985,408.0,978.0,16,0.83
131,822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,England,39,5,1,2,6111.0,2517,3594.0,1221.0,16,0.412
132,714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,England,46,3,2,3,19270.0,1662,17608.0,1565.0,28,0.086
133,713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,England,43,3,1,4,3710.0,2517,1193.0,1578.0,34,0.678
134,711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,England,37,2,1,3,3235.0,797,2438.0,1493.0,32,0.246
135,708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,England,38,3,1,0,11749.0,788,10961.0,1178.0,27,0.067
136,719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,England,36,5,3,2,7753.0,2100,5653.0,991.0,26,0.271
137,717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,England,40,5,1,0,10408.0,1186,9222.0,2560.0,42,0.114
138,711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,England,36,6,2,3,3967.0,1568,2399.0,1657.0,29,0.395
139,715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,Scotland,27,4,2,2,6205.0,2517,3688.0,1204.0,19,0.406
140,789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,England,38,1,3,3,8025.0,0,8025.0,673.0,18,0.0
141,789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,England,42,6,2,3,9036.0,2327,6709.0,1131.0,18,0.258
142,709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,England,34,2,3,2,14926.0,2517,12409.0,1576.0,25,0.169
143,718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,England,36,3,2,3,6335.0,1128,5207.0,1217.0,20,0.178
144,767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,England,53,2,3,3,14979.0,0,14979.0,530.0,10,0.0
145,712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,England,38,3,2,3,2732.0,0,2732.0,739.0,16,0.0
146,716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,England,32,6,3,2,2250.0,2117,133.0,1617.0,31,0.941
147,818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,England,50,3,2,0,10916.0,1536,9380.0,1592.0,34,0.141
148,772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,England,36,4,1,3,5349.0,1228,4121.0,1343.0,30,0.23
149,712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,England,24,4,1,3,9366.0,1104,8262.0,1303.0,39,0.118
150,711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,England,28,5,1,0,21617.0,0,21617.0,1351.0,22,0.0
151,712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,England,36,5,2,3,13860.0,1652,12208.0,1910.0,32,0.119
152,712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,England,31,2,2,3,18386.0,0,18386.0,1298.0,22,0.0
153,773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,England,41,6,2,2,2405.0,1540,865.0,1087.0,29,0.64
154,795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,England,47,4,2,3,2154.0,930,1224.0,1439.0,26,0.432
155,713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,England,36,3,3,3,2038.0,0,2038.0,1238.0,28,0.0
156,713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,England,38,6,1,3,8135.0,0,8135.0,1716.0,29,0.0
157,712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,England,38,6,1,3,9364.0,618,8746.0,1099.0,27,0.066
158,718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,England,35,4,3,2,23720.799999999996,0,21964.6,1058.0,24,0.0
159,718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,England,34,2,3,1,3195.0,1954,1241.0,1285.0,29,0.612
160,720253908,Existing Customer,34,M,0,High School,Married,$80K - $120K,Blue,England,43,5,2,1,2852.0,1024,1828.0,1651.0,28,0.359
